Gender,Age,Academic Stream,Educational Qualification ,Marital Status,Locality,Occupation,Annual Income,"Have you ever experienced any mental health issue?(even if you faced for a short period, tick yes)","In your life, which element has affected your mental health?", [Feeling sad most of the time], [Experienced low self-esteem], [You are willing to do the activities you usually enjoy], [Significant difficulty to fall asleep], [Problems with your work or daily life due to your physical health], [Feeling of giving up], [Relations with others affect your mental health], [Feeling anxious or discomfort around others], [Social media affect your mental health], [Your eating habits were altered in any way],How much time do you spend on social media?,Do you consume any sort of alcohol or smoke?,Tick the major life event which has affected your mental health.,Which of the following mental health disorders do you have or have experienced in the past?,What measures did you take to improve your mental health?,Felt improvement in your mental health after the measures you took.,"Do you have any counsellors in your school, college or surrounding?",Your personal opinion on Mental Health.
Male,20,Science,HSC (12th std),Unmarried,Rural,Student,Below 1 lakh,Yes,Emotional,A little,Moderately,A lot,A little,A little,A little,Agree,Neutral,Agree,Neutral,2-3 hrs,No,None of the above,Depression,"Talk about your feelings, Tried going out for nature campaigns, Take a break from daily routine",Yes,No,"I strongly feel mental health and physical health should be given equal importance. Like how we visit doctors for physical health, we should visit counselors.It's high time that we start taking our mental health seriously and open up to people regarding depression and other issues"
Female,20,Science,Graduation,Unmarried,Mumbai Suburban,Student,Below 1 lakh,No,,,,,,,,,,,,,,,,,,,
Male,20,Science,Graduation,Unmarried,Thane,Student,1-3 lakhs,No,,,,,,,,,,,,,,,,,,,
Female,20,Commerce,Graduation,Unmarried,Thane,Student,1-3 lakhs,Yes,"Emotional, Major life event",Moderately,A lot,Moderately,A lot,A lot,A lot,Agree,Agree,Agree,Neutral,1-2hrs,No,"Financial worries, An accident or long term injury",Anxiety disorders,"Visited Psychologists/ consultant/ therapist, Prescribed medication by Psychiatrist",Yes,Yes,
Female,20,Commerce,Graduation,Unmarried,Thane,Student,8-10 lakhs,No,,,,,,,,,,,,,,,,,,,
Female,19,Commerce,Graduation,Unmarried,Thane,Student,Below 1 lakh,Yes,"Emotional, Social",A little,Moderately,A lot,Extremely,Moderately,A lot,Agree,Strongly agree,Strongly agree,Strongly agree,5 to 6 hrs,No,None of the above,Depression,"Tried going out for nature campaigns, Take a break from daily routine",No,No,
Male,20,Science,Graduation,Unmarried,Mumbai city,Student,5-8 lakhs,No,,,,,,,,,,,,,,,,,,,
Female,19,Interior design,HSC (12th std),Unmarried,Thane,Student,3-5 lakhs,Yes,"Emotional, Physical, Social",Moderately,A lot,Moderately,A little,Moderately,Extremely,Agree,Strongly agree,Agree,Strongly agree,6-7 hours a day,Yes,"An accident or long term injury, Surgery","Depression, Anxiety disorders, Bipolar disorders, Eating disorders",Take a break from daily routine,No,No,"Everyone talks about ""talking"" about it, but no one takes a step towards making a change. More awareness needs to be spread about this so people with mental issues are understood instead of labelling them as dramatic or lazy"
Female,20,Science,Graduation,Unmarried,Mumbai city,Student,1-3 lakhs,No,,,,,,,,,,,,,,,,,,,
Female,40,Science,Graduation,Married,Pune,Unemployed,Below 1 lakh,No,,,,,,,,,,,,,,,,,,,
Female,32,Science,Post Graduation,Married,Thane,Unemployed,Below 1 lakh,No,,,,,,,,,,,,,,,,,,,
Female,31,Science,Post Graduation,Married,Mumbai Suburban,Employed,8-10 lakhs,Yes,"Emotional, Major life event",A little,A little,Extremely,Moderately,A little,A little,Agree,Neutral,Disagree,Agree,1 hr,No,"Forced separation from family members, Financial worries","Depression, Anxiety disorders","Visited Psychologists/ consultant/ therapist, Talk about your feelings, Take a break from daily routine",Yes,Yes,"Mental health is as important as physical health.  Don't ignore mental health issues  ever, they can be treated like other health issues."
Male,20,Science,Graduation,Unmarried,Thane,Student,3-5 lakhs,No,,,,,,,,,,,,,,,,,,,
Female,44,Science,Post Graduation,Married,Thane,Unemployed,10 and above,No,,,,,,,,,,,,,,,,,,,
Female,20,Science,Graduation,Unmarried,Thane,Student,1-3 lakhs,No,,,,,,,,,,,,,,,,,,,
Female,20,Arts,Graduation,Unmarried,Navi Mumbai,Student,5-8 lakhs,No,,,,,,,,,,,,,,,,,,,
Female,20,Science,HSC (12th std),Unmarried,Thane,Student,Below 1 lakh,Yes,Emotional,A little,Moderately,Extremely,Moderately,A little,Never,Agree,Neutral,Agree,Neutral,Around 2 hours ,Yes,Getting of negative response ,Not that much... ,Take a break from daily routine,Yes,Yes,
Female,17,Commerce,HSC (12th std),Unmarried,Thane,Student,Below 1 lakh,Yes,Emotional,A little,A little,Moderately,Never,A little,Never,Neutral,Neutral,Strongly disagree,Strongly disagree,Most of the time,No,None of the above,Depression,"Meditation, Yoga, Talk about your feelings, Take a break from daily routine",Yes,Yes,Should be taken seriously because we think it doesn't matter but it matters n effects the person's life
Female,20,Science,Graduation,Unmarried,Mumbai city,Student,10 and above,Yes,"Emotional, Social",A little,Moderately,Moderately,Never,Never,A little,Strongly agree,Agree,Disagree,Agree,3 to 5 hours,No,None of the above,Anxiety disorders,"Talk about your feelings, Take a break from daily routine",Yes,Yes,
Female,19,Science,Graduation,Unmarried,Thane,Student,3-5 lakhs,Yes,"Emotional, Social",Never,A little,A lot,A little,Never,Moderately,Agree,Neutral,Agree,Agree,2-3hours,No,None of the above,-,"Yoga, Take a break from daily routine",Yes,No,
Female,20,Commerce,Graduation,Unmarried,Thane,Student,Below 1 lakh,No,,,,,,,,,,,,,,,,,,,
Male,30,Science,Graduation,Unmarried,Dombivli ,Employed,5-8 lakhs,No,,,,,,,,,,,,,,,,,,,
Female,20,Science,Graduation,Unmarried,Thane,Student,Below 1 lakh,Yes,Emotional,A little,A little,A lot,A little,Moderately,A little,Agree,Agree,Disagree,Neutral,5 hours daily,No,Financial worries,"Depression, Anxiety disorders","Talk about your feelings, Tried going out for nature campaigns, Take a break from daily routine",Yes,No,
Female,20,Science,HSC (12th std),Unmarried,Thane,Student,1-3 lakhs,No,,,,,,,,,,,,,,,,,,,
Female,20,Commerce,HSC (12th std),Unmarried,Thane,Student,1-3 lakhs,No,,,,,,,,,,,,,,,,,,,
Female,19,Science,HSC (12th std),Unmarried,Latur,Student,8-10 lakhs,No,,,,,,,,,,,,,,,,,,,
Male,18,Science,HSC (12th std),Unmarried,Thane,Student,8-10 lakhs,Yes,"Emotional, Social, Major life event",A lot,A lot,A little,Moderately,Moderately,A lot,Strongly agree,Strongly agree,Strongly agree,Agree,4-5 hours,No,"Death of family member or friend, Heartbroken ","Depression, Anxiety disorders","Talk about your feelings, Tried going out for nature campaigns, Take a break from daily routine",Maybe,No,"Even if people are vocal about it on social media , in reality only 2-3 people give a shit about it when it happens to their friends and they think talking to those people once or twice is enough , but in reality it isnt enough . "
Female,22,Science,Graduation,Unmarried,Dombivali,Employed,Below 1 lakh,Yes,Emotional,A lot,Never,Extremely,A lot,A lot,Never,Agree,Neutral,Disagree,Neutral,12hrs,No,None of the above,Depression,"Talk about your feelings, Take a break from daily routine",Yes,No,To be Strong Physically
Male,20,Arts,Graduation,Unmarried,Thane,Student,Below 1 lakh,No,,,,,,,,,,,,,,,,,,,
Female,30 yrs,Science,Post Graduation,Married,Thane,Employed,5-8 lakhs,No,,,,,,,,,,,,,,,,,,,
Female,20,Commerce,HSC (12th std),Unmarried,Dombivli,Student,8-10 lakhs,No,,,,,,,,,,,,,,,,,,,
Male,20,Science,Graduation,Unmarried,Navi Mumbai,Student,10 and above,No,,,,,,,,,,,,,,,,,,,
Female,20,Commerce,Graduation,Unmarried,Thane,Student,5-8 lakhs,Yes,Social,A little,Moderately,Extremely,Moderately,Never,Extremely,Strongly agree,Neutral,Disagree,Neutral, All day,No,Financial worries,Depression,"Meditation, Talk about your feelings, Take a break from daily routine",Yes,No,"Mental and physical health are equally important components of overall health.  Mental health is important at every stage of life, from childhood and adolescence through adulthood."
Female,45,Science,Post Graduation,Married,Aboard ,Employed,10 and above,Yes,Major life event,Never,Never,Extremely,Never,Never,Never,Disagree,Disagree,Disagree,Disagree,4-5 hours a day ,No,Death of family member or friend,Felt low for brief period ,"Talk about your feelings, I managed to come out of life major events with strong willingness to overcome that with engaging myself in new career pathway, concentrated on my further education and job outside india and starting new life after getting married. Made new friends, engaged in social and personal life. For any such incidents time is the healing factor and it will heal with time although pain will never go away. ",Yes,No,"Mental health is a very broad area, it can vary from just feeling not good to major depression or major  psychological issues. Some may improve this by simply adopting the life style like exercises and good eating habits and some might end up in medications if it’s severe. But we all need to accept that at any one point in life/ time we all suffer from it, so acknowledging it and trying to work around it is the best way forward. Seeking help at right time and talking about it and getting support whether it’s at personal or professional level but talk about it before the damage is too late to rectify.  Also try and stay away from bad influences like social media, it can be helpful if used in right way but it can influence in bad way. Especially on today’s younger generation. It’s create a false image and people try to chase that image and then if it doesn’t work out they end up in major issues. So understand that what you always see is not a real world and it’s mainly fake image that has been created. So don’t fall for it. 
Good luck with the project. "
Male,40,Arts,Graduation,Married,Rural,Unemployed,Below 1 lakh,No,,,,,,,,,,,,,,,,,,,
Male,25,Science,Graduation,Unmarried,Pune,Employed,Below 1 lakh,No,,,,,,,,,,,,,,,,,,,
Female,20,Science,Graduation,Unmarried,Thane,Student,3-5 lakhs,Yes,Mental stress,Never,Never,A lot,A little,A little,Never,Disagree,Neutral,Disagree,Agree,At least 6-7 hrs a day,No,Studies ,Anxiety disorders,Take a break from daily routine,Yes,No,"It defers from person to person and situation to situation, few people don't even notice their mental health is being affected unless it effects gets severe, few have good coping mechanism they get out of it very easily other who keep quite about it, not understanding what's happening mostly don't get out of it, so I think if someone is the second type they should seek help from the people they are most comfortable with. "
Female,35,Commerce,Graduation,Married,Thane,Employed,5-8 lakhs,No,,,,,,,,,,,,,,,,,,,
Male,20,Science,Graduation,Unmarried,Thane,Student,Below 1 lakh,No,,,,,,,,,,,,,,,,,,,
Female,21,Arts,Graduation,Unmarried,Thane,Student,3-5 lakhs,Yes,Emotional,Moderately,Moderately,A lot,A little,A little,A little,Neutral,Neutral,Agree,Disagree,2-3  hrs a day,No,None of the above,Depression,"Meditation, Yoga, Tried going out for nature campaigns, Take a break from daily routine",Yes,Yes,
Female,20,Science,Graduation,Unmarried,Thane,Student,Below 1 lakh,Yes,Emotional,A little,A little,A lot,A little,Moderately,A little,Agree,Agree,Disagree,Neutral,5 hours daily,No,Financial worries,"Depression, Anxiety disorders","Talk about your feelings, Tried going out for nature campaigns, Take a break from daily routine",Yes,No,
Male,20,Science,HSC (12th std),Unmarried,Thane,Student,Below 1 lakh,Yes,"Emotional, Major life event",A lot,Moderately,Extremely,A lot,Moderately,Moderately,Strongly agree,Neutral,Strongly agree,Neutral,3-4 hrs,No,"Death of family member or friend, Not selected for mbbs government college",Depression,"Talk about your feelings, Take a break from daily routine",Maybe,No,
Male,20,Science,HSC (12th std),Unmarried,Rural,Student,10 and above,No,,,,,,,,,,,,,,,,,,,
Male,20,Science,Graduation,Unmarried,Thane,Student,Below 1 lakh,No,,,,,,,,,,,,,,,,,,,
Others,22,Arts,Below SSC,Unmarried,Thane,Unemployed,Below 1 lakh,No,,,,,,,,,,,,,,,,,,,
Female,20,Fine arts,Graduation,Unmarried,Pune,Student,3-5 lakhs,No,,,,,,,,,,,,,,,,,,,
Male,19,Science,Graduation,Unmarried,Dombivli,Student,5-8 lakhs,No,,,,,,,,,,,,,,,,,,,
Male,20,Commerce,HSC (12th std),Unmarried,Thane,Student,Below 1 lakh,Yes,Emotional,A little,Never,Moderately,A little,Never,A little,Neutral,Neutral,Disagree,Strongly disagree,6hrs,No,Death of family member or friend,Depression,Yoga,Yes,No,
Female,20,Science,Graduation,Unmarried,Mumbai city,Student,3-5 lakhs,Yes,"Emotional, Social",Moderately,Extremely,Moderately,Moderately,A little,A little,Strongly agree,Strongly agree,Strongly disagree,Disagree,3-4 hrs,No,None of the above,"Depression, Anxiety disorders","Visited Psychologists/ consultant/ therapist, Talk about your feelings, Take a break from daily routine",Maybe,No,People should be made aware and to be open n helpful to those who need advice 
Female,20,Science,Graduation,Unmarried,Dhule,Student,Below 1 lakh,No,,,,,,,,,,,,,,,,,,,
Male,20,Science,HSC (12th std),Unmarried,Thane,Student,1-3 lakhs,No,,,,,,,,,,,,,,,,,,,
Male,21,Science,Graduation,Unmarried,DOMBIVALI,Student,Below 1 lakh,No,,,,,,,,,,,,,,,,,,,
Female,28,Commerce,Graduation,Unmarried,Thane,Employed,1-3 lakhs,No,,,,,,,,,,,,,,,,,,,
Female,20,Science,Graduation,Unmarried,Mumbai city,Student,Below 1 lakh,No,,,,,,,,,,,,,,,,,,,
Male,20,Commerce,HSC (12th std),Unmarried,Vasai Virar,Student,Below 1 lakh,Yes,"Emotional, Major life event",Never,Never,A lot,Never,Never,Never,Agree,Neutral,Agree,Neutral,1 hour,Yes,Death of family member or friend,Anxiety disorders,Meditation,Yes,No,Checking on yourself is an absolute must.
Female,19,Science,HSC (12th std),Unmarried,Thane,Student,Below 1 lakh,No,,,,,,,,,,,,,,,,,,,
Male,20,Science,HSC (12th std),Unmarried,Thane,Student,Below 1 lakh,Yes,"Emotional, Physical",A little,Never,Extremely,Moderately,A little,Moderately,Agree,Agree,Agree,Neutral,Approx 1 to 2 hrs a day,Yes,None of the above,None,"Talk about your feelings, Take a break from daily routine",Yes,No,
Female,19,Commerce,HSC (12th std),Unmarried,Thane,Student,Below 1 lakh,No,,,,,,,,,,,,,,,,,,,
Male,21,Science,Graduation,Unmarried,Thane,Student,Below 1 lakh,Yes,Emotional,Never,A little,Moderately,A little,A little,Never,Neutral,Neutral,Disagree,Disagree,2 hours,No,An accident or long term injury,Depression,"Meditation, Yoga",Yes,No,Mental health is most important. It is important to be strong physically as well as mentally. We all must take precautions so that our mental health won't be harmed. We must take a break from our daily routine to explore new things and release stress from our mind. Mental health is a issue which is mostly neglected in india. We must change peoples point of view towards mental health. 
Female,20,Science,Graduation,Unmarried,Mumbai city,Student,1-3 lakhs,No,,,,,,,,,,,,,,,,,,,
Female,19,Science,Graduation,Unmarried,Thane,Student,Below 1 lakh,Yes,"Emotional, Major life event",Moderately,A lot,Extremely,A lot,A little,A lot,Strongly agree,Agree,Agree,Agree,Average 3 hrs a day,No,"Forced separation from family members, Financial worries","Depression, Bipolar disorders, Eating disorders","Yoga, Talk about your feelings, Tried going out for nature campaigns, Take a break from daily routine",No,No,"Mental health carries the whole and sole control Over your life. The way you see the world can drastically change once your mentally unprepared. The Best Medicine for such mental health issues is to acknowledge the fact that u need a listener, but that's kinda rare to find. They say there's no going back, but isn't that the only way? "
Male,21,Science,Graduation,Unmarried,Thane,Student,Below 1 lakh,No,,,,,,,,,,,,,,,,,,,
Male,36,Science,Graduation,Married,Bangalore,Employed,10 and above,No,,,,,,,,,,,,,,,,,,,
Female,20,Science,Graduation,Unmarried,Mumbai Suburban,Student,10 and above,No,,,,,,,,,,,,,,,,,,,
Female,21,Arts,Diploma,Unmarried,Mumbai city,Student,10 and above,No,,,,,,,,,,,,,,,,,,,
Female,43,Commerce,Graduation,Married,Thane,Unemployed,3-5 lakhs,Yes,Emotional,A little,A little,Never,Never,A little,A little,Neutral,Disagree,Disagree,Disagree,10 / 12 hours,No,"Death of family member or friend, Financial worries",Shivering in body parts,Family dr. Treated,Yes,Yes,Don't take more tention
Male,20,Science,Graduation,Unmarried,Thane,Student,3-5 lakhs,No,,,,,,,,,,,,,,,,,,,
Female,21,Commerce,Graduation,Unmarried,Thane,Student,10 and above,No,,,,,,,,,,,,,,,,,,,
Male,20,Commerce,Graduation,Unmarried,Dombivli,Student,Below 1 lakh,Yes,Emotional,Never,Never,Extremely,Never,Never,Never,Strongly disagree,Strongly disagree,Strongly disagree,Neutral,Only when I got the free time,No,Financial worries,Anxiety disorders,"Meditation, Tried going out for nature campaigns, Take a break from daily routine",Yes,No,"Mental health is depend upon us. If a person is mentally strong then it's easy to him to handle mental problems. There are many people's who thinks emotionally, that's why those people's had more mental issues. Solution for those people's is to hire a counselor or meet that friend who know them better and talk with him about that. That's my opinion"
Female,21,Science,Graduation,Unmarried,Thane,Student,Below 1 lakh,Yes,"Emotional, Physical",Moderately,A little,A lot,A little,A little,Never,Agree,Neutral,Disagree,Agree,Alot,No,None of the above,Anxiety disorders,"Prescribed medication by Psychiatrist, Meditation",Yes,No,
Male,22,Science,Graduation,Unmarried,Thane,Student,Below 1 lakh,No,,,,,,,,,,,,,,,,,,,
Male,51yrs,Commerce,Graduation,Married,Mumbai city,Employed,5-8 lakhs,No,,,,,,,,,,,,,,,,,,,
Male,20,Science,Graduation,Unmarried,Dombivli,Student,8-10 lakhs,No,,,,,,,,,,,,,,,,,,,
Female,20,Science,Graduation,Unmarried,Mumbai city,Student,1-3 lakhs,No,,,,,,,,,,,,,,,,,,,
Female,20,Science,Graduation,Unmarried,Thane,Student,1-3 lakhs,No,,,,,,,,,,,,,,,,,,,
Female,38,None,Below SSC,Married,Thane,Unemployed,5-8 lakhs,Yes,Major life event,A lot,Never,Never,A lot,Never,Never,Strongly disagree,Strongly disagree,Strongly disagree,Neutral,2,No,Death of family member or friend,Mental Stress ,Talk about your feelings,Yes,No,We should not overthink because it is going to affect us later.
Male,20,Science,Graduation,Unmarried,Thane,Student,3-5 lakhs,Yes,Major life event,Never,A little,Extremely,A little,Never,A little,Agree,Disagree,Neutral,Disagree,1/10th,No,Death of family member or friend,Depression,Talk about your feelings,Yes,Yes,
Female,20,Science,Graduation,Unmarried,Thane,Student,10 and above,Yes,"Emotional, Social",A little,Moderately,Moderately,Never,A little,Never,Agree,Agree,Agree,Disagree,2-3 hrs,No,Death of friend,Anxiety disorders,"Meditation, Talk about your feelings, Take a break from daily routine, Watch motivational video, read Bhagavad gita",Yes,No,"Mental health declines when one is incapable of controlling the mind and becomes servant of mind. One should practice being aware of thoughts that we create in our minds, because our ancient scriptures say that it is only by awareness that one can control the monkey mind. "
Female,17,Commerce,HSC (12th std),Unmarried,Thane,Student,Below 1 lakh,Yes,Emotional,Moderately,A lot,Extremely,Never,Never,Extremely,Disagree,Agree,Disagree,Agree,5-6 hours,No,"Financial worries, Continuous quarrels between the family members ",Depression,"Talk about your feelings, Take a break from daily routine",Maybe,No,
Female,20,Science,Graduation,Unmarried,Mumbai city,Student,Below 1 lakh,Yes,Emotional,Extremely,A lot,Extremely,Never,Never,Never,Strongly agree,Strongly disagree,Strongly disagree,Strongly disagree,5 min,Yes,Death of family member or friend,Depression,Take a break from daily routine,Yes,No,Yes
Male,20,Science,Graduation,Unmarried,Thane,Student,Below 1 lakh,No,,,,,,,,,,,,,,,,,,,
Male,20,Science,Graduation,Unmarried,Dombivli,Student,Below 1 lakh,No,,,,,,,,,,,,,,,,,,,
Female,20,Science,Graduation,Unmarried,Mumbai city,Student,1-3 lakhs,No,,,,,,,,,,,,,,,,,,,
Male,20,Science,HSC (12th std),Unmarried,Thane,Student,8-10 lakhs,No,,,,,,,,,,,,,,,,,,,
Female,20,Science,HSC (12th std),Unmarried,Mumbai city,Student,Below 1 lakh,No,,,,,,,,,,,,,,,,,,,
Female,20,Commerce,Graduation,Unmarried,Thane,Student,Below 1 lakh,No,,,,,,,,,,,,,,,,,,,
Female,21,Science,Graduation,Unmarried,Thane,Student,Below 1 lakh,No,,,,,,,,,,,,,,,,,,,
Female,33,Science,Post Graduation,Married,Belagavi,Employed,1-3 lakhs,No,,,,,,,,,,,,,,,,,,,
Male,34,Technology,Post Graduation,Married,Navi Mumbai,Employed,3-5 lakhs,No,,,,,,,,,,,,,,,,,,,
Male,20,Science,Diploma,Unmarried,Dombivli,Student,Below 1 lakh,No,,,,,,,,,,,,,,,,,,,
Female,20years,Science,HSC (12th std),Unmarried,Thane,Student,Below 1 lakh,No,,,,,,,,,,,,,,,,,,,
Male,21,Science,HSC (12th std),Unmarried,Mumbai Suburban,Student,1-3 lakhs,No,,,,,,,,,,,,,,,,,,,
Male,23,Science,Graduation,Unmarried,Thane,Student,1-3 lakhs,No,,,,,,,,,,,,,,,,,,,
Male,21,Commerce,Graduation,Unmarried,Dombivli ,Student,1-3 lakhs,Yes,Substance use (any kind of addiction),Never,Never,Never,Never,Never,Never,Neutral,Neutral,Neutral,Neutral,12hrs ,Yes,Financial worries,Alcohol use disorder,Talk about your feelings,Yes,Yes,
Male,22,Science,Graduation,Unmarried,Kalyan,Student,Below 1 lakh,No,,,,,,,,,,,,,,,,,,,
Male,20,Tourism,Graduation,Unmarried,Thane,Student,Below 1 lakh,No,,,,,,,,,,,,,,,,,,,
Male,22,Science,Graduation,Unmarried,Thane,Student,Below 1 lakh,No,,,,,,,,,,,,,,,,,,,
Female,21,Science,HSC (12th std),Unmarried,Latur,Student,Below 1 lakh,No,,,,,,,,,,,,,,,,,,,
Male,20,None,HSC (12th std),Unmarried,Thane,Unemployed,Below 1 lakh,No,,,,,,,,,,,,,,,,,,,
Male,46,Engg,PHD,Married,Belagavi,Employed,10 and above,No,,,,,,,,,,,,,,,,,,,
Female,30,Science,Graduation,Married,Bangalore,Employed,10 and above,Yes,Emotional,A little,Moderately,A lot,Moderately,Moderately,A little,Strongly agree,Agree,Agree,Agree,1 hour daily,No,None of the above,Depression,"Talk about your feelings, Take a break from daily routine",Yes,Yes,
Male,20,Science,Graduation,Unmarried,Thane,Student,1-3 lakhs,No,,,,,,,,,,,,,,,,,,,
